Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0402_1005Metric,91.44,-115.034,90.0,bottom
C2,22pF,C_0402_1005Metric,93.345,-135.509,135.0,bottom
C3,22pF,C_0402_1005Metric,88.011,-135.509,45.0,bottom
C4,1uF,C_0402_1005Metric,103.632,-101.346,270.0,bottom
C5,1uF,C_0402_1005Metric,96.266,-99.413,90.0,bottom
C6,1uF,C_0402_1005Metric,85.217,-119.084411,45.0,bottom
C7,100nF,C_0402_1005Metric,85.283783,-131.320142,315.0,bottom
C8,100nF,C_0402_1005Metric,89.789,-117.094,90.0,bottom
C9,4.7uF,C_0402_1005Metric,97.917,-99.441,90.0,bottom
C10,1uF,C_0402_1005Metric,82.829194,-119.042731,0.0,bottom
C11,100nF,C_0402_1005Metric,86.045783,-132.082142,315.0,bottom
C12,100nF,C_0402_1005Metric,93.472,-121.666,180.0,bottom
C13,100nF,C_0402_1005Metric,88.773,-117.094,90.0,bottom
C14,100nF,C_0402_1005Metric,82.829194,-120.058731,0.0,bottom
C15,100nF,C_0402_1005Metric,82.829194,-121.074731,0.0,bottom
C16,100nF,C_0402_1005Metric,82.677,-125.476,0.0,bottom
C17,100nF,C_0402_1005Metric,93.853,-125.73,180.0,bottom
C18,100nF,C_0402_1005Metric,70.584,-135.255,180.0,bottom
D1,1N4148,D_SOD-123,76.2,-97.63125,90.0,bottom
D2,1N4148,D_SOD-123,96.52,-90.932,90.0,bottom
D3,1N4148,D_SOD-123,115.189,-91.567,90.0,bottom
D4,1N4148,D_SOD-123,133.35,-97.63125,90.0,bottom
D5,1N4148,D_SOD-123,152.4,-97.63125,90.0,bottom
D6,1N4148,D_SOD-123,171.45,-97.63125,90.0,bottom
D7,1N4148,D_SOD-123,190.5,-97.63125,90.0,bottom
D8,1N4148,D_SOD-123,209.55,-97.63125,90.0,bottom
D9,1N4148,D_SOD-123,228.6,-97.63125,90.0,bottom
D10,1N4148,D_SOD-123,247.65,-97.63125,90.0,bottom
D11,1N4148,D_SOD-123,266.7,-97.63125,90.0,bottom
D12,1N4148,D_SOD-123,285.75,-97.63125,90.0,bottom
D13,1N4148,D_SOD-123,304.8,-97.63125,90.0,bottom
D14,1N4148,D_SOD-123,323.85,-97.63125,90.0,bottom
D15,1N4148,D_SOD-123,333.375,-97.63125,90.0,bottom
D16,1N4148,D_SOD-123,358.648,-96.901,90.0,bottom
D18,1N4148,D_SOD-123,81.661,-110.363,90.0,bottom
D19,1N4148,D_SOD-123,106.172,-109.982,90.0,bottom
